datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
1996-05-01 17:00:00,0.70,,0.1,0.10,0.0
1996-04-01 17:00:00,0.10,,0.0,0.00,0.0
1996-03-01 17:00:00,0.00,,-0.3,-0.30,0.0
1996-02-01 17:00:00,-0.30,,1.3,1.30,0.0
1996-01-01 17:00:00,1.30,,0.3,0.30,0.0
1995-12-01 17:00:00,0.30,,0.3,0.30,0.0
1995-11-01 17:00:00,0.30,,0.3,0.30,0.0
1995-10-01 17:00:00,0.30,,0.9,0.90,0.0
1995-09-01 17:00:00,0.90,,0.1,0.10,0.0
1995-08-01 17:00:00,0.10,,1.2,1.20,0.0
1995-07-01 17:00:00,1.20,,0.5,0.50,0.0
1995-06-01 17:00:00,0.50,,1.5,1.50,0.0
1995-05-01 17:00:00,1.50,,0.6,0.60,0.0
1995-04-01 17:00:00,0.60,,1.2,1.20,0.0
1995-03-01 17:00:00,1.20,,1.1,1.10,0.0
1995-02-01 17:00:00,1.10,,0.1,0.10,0.0
1995-01-01 17:00:00,0.10,,-0.6,-0.60,0.0
1994-12-01 17:00:00,-0.60,,0.4,0.40,0.0
1994-11-01 17:00:00,0.40,,0.4,0.40,0.0
1994-10-01 17:00:00,0.40,,2.3,2.30,0.0
1994-09-01 17:00:00,2.30,,0.1,0.10,0.0
1994-08-01 17:00:00,0.10,,0.5,0.50,0.0
1994-07-01 17:00:00,0.50,,1.0,1.00,0.0
1994-06-01 17:00:00,1.00,,-0.7,-0.70,0.0
1994-05-01 17:00:00,-0.70,,0.2,0.20,0.0
1994-04-01 17:00:00,0.20,,2.2,2.20,0.0
1994-03-01 17:00:00,2.20,,-0.7,-0.70,0.0
1994-02-01 17:00:00,-0.70,,0.2,0.20,0.0
1994-01-01 17:00:00,0.20,,1.7,1.70,0.0
1993-12-01 17:00:00,1.70,,0.7,0.70,0.0
1993-11-01 17:00:00,0.70,,1.6,1.60,0.0
1993-10-01 17:00:00,1.60,,-0.1,-0.10,0.0
1993-09-01 17:00:00,-0.10,,-0.7,-0.70,0.0
1993-08-01 17:00:00,-0.70,,0.1,0.10,0.0
1993-07-01 17:00:00,0.10,,1.0,1.00,0.0
1993-06-01 17:00:00,1.00,,-0.1,-0.10,0.0
1993-05-01 17:00:00,-0.10,,0.5,0.50,0.0
1993-04-01 17:00:00,0.50,,-0.2,-0.20,0.0
1993-03-01 17:00:00,-0.20,,1.8,1.80,0.0
1993-02-01 17:00:00,1.80,,-1.4,-1.40,0.0
1993-01-01 17:00:00,-1.40,,0.2,0.20,0.0
1992-12-01 17:00:00,0.20,,0.9,0.90,0.0
1992-11-01 17:00:00,0.90,,1.8,1.80,0.0
1992-10-01 17:00:00,1.80,,-1.2,-1.20,0.0
1992-09-01 17:00:00,-1.20,,0.3,0.30,0.0
1992-08-01 17:00:00,0.30,,-1.0,-1.00,0.0
1992-07-01 17:00:00,-1.00,,-0.2,-0.20,0.0
1992-06-01 17:00:00,-0.20,,1.1,1.10,0.0
1992-05-01 17:00:00,1.10,,1.6,1.60,0.0
1992-04-01 17:00:00,1.60,,0.3,0.30,0.0
1992-03-01 17:00:00,0.30,,0.7,0.70,0.0
1992-02-01 17:00:00,0.70,,-0.3,-0.30,0.0
